Scenario,Sensor_Type,Occupancy_Count,Crowd_Density_Level,Detection_Time_sec,Peak_Hazard_Exposure_percent,Evacuation_Time_sec,Success_Rate_percent,Decision_Node,Adaptive_Route_ID,Flow_Pattern_Score,Evacuation_Strategy_Type,Comment,Occupancy_Normalized,Density_Normalized,Hazard_Normalized,Combined_Avg,Route_Status
Sudden Overcrowding,Heat Sensor,584,0.17,3.95,16.65,343.0,92.62,Edge-Node-1,5,0.519,Adaptive,Normal conditions,0.2739866598255516,0.07777777777777779,0.5255681818181818,0.29244420647383707,Optimal
Electrical Fire,Heat Sensor,930,0.36,2.23,14.79,344.0,93.47,Edge-Node-3,3,0.646,Priority-Based,High congestion observed,0.45151359671626473,0.2888888888888889,0.4668560606060606,0.40241951540373805,Optimal
Electrical Fire,RFID Log,1109,0.11,4.72,13.31,355.0,95.97,Edge-Node-3,18,0.263,Leader-Based,Evacuation improving,0.543355566957414,0.011111111111111113,0.42013888888888895,0.32486852231913804,Optimal
Station Flooding,Heat Sensor,214,0.36,4.51,10.7,375.0,94.43,Edge-Node-3,4,0.622,Leader-Based,Normal conditions,0.08414571575166752,0.2888888888888889,0.33775252525252525,0.2369290432976939,Optimal
Tunnel Smoke,WiFi Log,1567,0.19,4.26,20.02,382.0,96.51,Edge-Node-3,11,0.934,Priority-Based,Evacuation improving,0.7783478707029245,0.09999999999999999,0.6319444444444444,0.5034307717157896,Congested
Sudden Overcrowding,RFID Log,1131,0.4,4.94,21.08,332.0,96.73,Edge-Node-2,10,0.504,Adaptive,Normal conditions,0.5546434068753207,0.33333333333333337,0.6654040404040404,0.5177935935375648,Congested
Tunnel Smoke,Environmental Sensor,1293,0.24,0.09,13.85,375.0,95.24,Edge-Node-3,6,0.915,Priority-Based,Evacuation improving,0.6377629553617239,0.15555555555555556,0.4371843434343434,0.4101676181172076,Optimal
Platform Fire,Heat Sensor,889,0.53,4.26,17.24,398.0,93.9,Edge-Node-3,17,0.818,Leader-Based,Potential hazard identified,0.4304771677783479,0.4777777777777778,0.5441919191919192,0.48414895491601495,Congested
Platform Fire,RFID Log,923,0.96,2.14,19.64,358.0,97.57,Edge-Node-2,2,0.339,Leader-Based,Sensor alert triggered,0.4479220112878399,0.9555555555555555,0.619949494949495,0.6744756872642969,Dangerous
Station Flooding,WiFi Log,881,0.92,2.38,27.14,269.0,92.54,Edge-Node-3,10,0.529,Leader-Based,Evacuation improving,0.42637249871729094,0.9111111111111112,0.8566919191919192,0.7313918430067737,Dangerous
Electrical Fire,CCTV,1597,0.12,2.49,11.39,402.0,96.99,Edge-Node-3,16,0.315,Adaptive,High congestion observed,0.7937403796818882,0.022222222222222213,0.35953282828282834,0.3918318100623129,Optimal
Panic Chain Reaction,CCTV,1458,0.67,2.93,14.44,335.0,96.34,Edge-Node-1,6,0.446,Priority-Based,Normal conditions,0.7224217547460235,0.6333333333333334,0.45580808080808083,0.603854389629146,Dangerous
Tunnel Smoke,Heat Sensor,1468,0.3,4.43,18.16,319.0,96.75,Edge-Node-1,4,0.889,Priority-Based,High congestion observed,0.7275525910723448,0.2222222222222222,0.5732323232323233,0.5076690455089635,Congested
Sudden Overcrowding,Smoke Sensor,647,0.61,4.53,12.75,417.0,97.78,Edge-Node-2,10,0.696,Priority-Based,Normal conditions,0.30631092868137505,0.5666666666666667,0.4024621212121212,0.4251465721867209,Congested
Station Flooding,Environmental Sensor,1122,0.71,5.01,24.78,310.0,95.71,Edge-Node-1,6,0.734,Priority-Based,Evacuation improving,0.5500256541816316,0.6777777777777777,0.7821969696969698,0.6700001338854596,Dangerous
Electrical Fire,RFID Log,528,0.8,6.25,17.25,342.0,96.19,Edge-Node-2,3,0.312,Priority-Based,Potential hazard identified,0.24525397639815286,0.7777777777777778,0.5445075757575758,0.5225131099778354,Congested
Platform Fire,WiFi Log,734,0.25,3.26,22.91,319.0,97.46,Edge-Node-1,19,0.576,Priority-Based,Crowd flow unstable,0.35094920472036945,0.16666666666666669,0.7231691919191919,0.413595021102076,Optimal
Electrical Fire,CCTV,238,0.23,4.93,20.58,370.0,95.71,Edge-Node-2,1,0.262,Priority-Based,Evacuation improving,0.09645972293483837,0.1444444444444445,0.6496212121212122,0.2968417931668317,Optimal
Platform Fire,RFID Log,376,0.41,4.74,5.72,404.0,96.71,Edge-Node-1,18,0.814,Leader-Based,High congestion observed,0.16726526423807078,0.34444444444444444,0.18055555555555555,0.23075508807935693,Optimal
Tunnel Smoke,Environmental Sensor,835,0.8,3.92,10.17,390.0,95.65,Edge-Node-2,9,0.486,Leader-Based,Normal conditions,0.40277065161621345,0.7777777777777778,0.3210227272727273,0.5005237188889061,Congested
Sudden Overcrowding,RFID Log,415,0.67,5.88,16.45,309.0,93.61,Edge-Node-3,3,0.681,Priority-Based,Normal conditions,0.18727552591072344,0.6333333333333334,0.5192550505050505,0.44662130324970245,Congested
Panic Chain Reaction,WiFi Log,159,0.53,4.14,11.52,388.0,94.64,Edge-Node-3,16,0.862,Adaptive,Evacuation improving,0.055926115956900974,0.4777777777777778,0.36363636363636365,0.2991134191236808,Optimal
Platform Fire,Smoke Sensor,1618,0.65,5.73,4.7,416.0,97.87,Edge-Node-2,1,0.342,Leader-Based,Sensor alert triggered,0.8045151359671626,0.6111111111111112,0.14835858585858588,0.52132827764562,Congested
Tunnel Smoke,WiFi Log,1956,0.98,2.34,16.62,444.0,98.35,Edge-Node-1,5,0.758,Adaptive,Evacuation improving,0.9779374037968188,0.9777777777777779,0.5246212121212122,0.8267787978986029,Dangerous
Tunnel Smoke,WiFi Log,1017,0.72,3.06,8.24,399.0,95.18,Edge-Node-2,3,0.601,Leader-Based,Potential hazard identified,0.49615187275525907,0.6888888888888889,0.2601010101010101,0.48171392391505274,Congested
Platform Fire,WiFi Log,976,0.43,3.15,16.46,324.0,96.53,Edge-Node-2,14,0.859,Priority-Based,Evacuation improving,0.47511544381734216,0.3666666666666667,0.5195707070707072,0.45378427251823866,Congested
Station Flooding,Smoke Sensor,76,0.19,2.34,16.54,410.0,99.26,Edge-Node-2,8,0.795,Leader-Based,Crowd flow unstable,0.013340174448435094,0.09999999999999999,0.5220959595959596,0.21181204468146486,Optimal
Platform Fire,RFID Log,1752,0.57,2.69,16.04,381.0,98.51,Edge-Node-3,3,0.764,Adaptive,Potential hazard identified,0.8732683427398665,0.5222222222222221,0.5063131313131313,0.6339345654250733,Dangerous
Station Flooding,Environmental Sensor,205,0.7,3.79,5.11,378.0,93.6,Edge-Node-3,15,0.641,Priority-Based,Potential hazard identified,0.07952796305797845,0.6666666666666666,0.16130050505050508,0.3024983782583834,Optimal
Station Flooding,RFID Log,271,0.22,1.91,8.74,387.0,99.6,Edge-Node-1,11,0.484,Adaptive,Sensor alert triggered,0.1133914828116983,0.13333333333333336,0.2758838383838384,0.17420288484295668,Optimal
Platform Fire,Smoke Sensor,434,0.81,4.84,6.67,370.0,95.21,Edge-Node-1,15,0.449,Adaptive,High congestion observed,0.19702411493073368,0.788888888888889,0.2105429292929293,0.39881864437085063,Optimal
Electrical Fire,Heat Sensor,1010,0.16,4.45,16.14,359.0,97.05,Edge-Node-2,17,0.682,Adaptive,Potential hazard identified,0.4925602873268342,0.06666666666666667,0.509469696969697,0.3562322169877326,Optimal
Electrical Fire,RFID Log,1254,0.68,5.48,4.2,359.0,95.53,Edge-Node-1,11,0.675,Adaptive,High congestion observed,0.6177526936890713,0.6444444444444445,0.1325757575757576,0.46492429856975775,Congested
Panic Chain Reaction,Heat Sensor,1614,0.94,1.79,27.86,320.0,94.32,Edge-Node-3,10,0.798,Leader-Based,Crowd flow unstable,0.8024628014366342,0.9333333333333333,0.8794191919191919,0.8717384422297197,Dangerous
Sudden Overcrowding,CCTV,481,0.18,2.42,21.33,388.0,99.24,Edge-Node-1,11,0.375,Leader-Based,Crowd flow unstable,0.22113904566444328,0.08888888888888889,0.6732954545454546,0.3277744630329289,Optimal
Sudden Overcrowding,WiFi Log,909,0.68,3.24,20.44,354.0,99.23,Edge-Node-3,15,0.399,Adaptive,Evacuation improving,0.44073884043099026,0.6444444444444445,0.6452020202020203,0.576795101692485,Dangerous
Tunnel Smoke,Smoke Sensor,957,0.98,4.01,17.65,334.0,94.02,Edge-Node-1,18,0.832,Priority-Based,High congestion observed,0.465366854797332,0.9777777777777779,0.5571338383838383,0.6667594903196493,Dangerous
Platform Fire,WiFi Log,1057,0.11,4.37,19.44,386.0,97.64,Edge-Node-3,7,0.884,Priority-Based,Crowd flow unstable,0.5166752180605438,0.011111111111111113,0.6136363636363638,0.38047423093600624,Optimal
Platform Fire,RFID Log,894,0.33,1.69,12.5,359.0,94.35,Edge-Node-2,5,0.405,Adaptive,Sensor alert triggered,0.43304258594150846,0.2555555555555556,0.39457070707070707,0.3610562828559238,Optimal
Panic Chain Reaction,WiFi Log,1003,0.64,4.43,9.41,342.0,95.27,Edge-Node-1,15,0.438,Leader-Based,Normal conditions,0.48896870189840946,0.6,0.2970328282828283,0.4620005100604126,Congested
Electrical Fire,RFID Log,496,0.4,5.31,15.43,324.0,98.94,Edge-Node-1,7,0.228,Leader-Based,High congestion observed,0.2288353001539251,0.33333333333333337,0.48705808080808083,0.34974223809844646,Optimal
Panic Chain Reaction,CCTV,845,0.15,3.51,16.34,341.0,97.35,Edge-Node-2,15,0.21,Priority-Based,Sensor alert triggered,0.4079014879425346,0.05555555555555554,0.5157828282828283,0.3264132905936395,Optimal
Sudden Overcrowding,CCTV,668,0.61,3.25,11.32,419.0,97.19,Edge-Node-1,15,0.938,Priority-Based,High congestion observed,0.3170856849666496,0.5666666666666667,0.3573232323232324,0.41369186131884955,Optimal
Panic Chain Reaction,CCTV,574,0.11,4.24,14.46,333.0,98.71,Edge-Node-1,3,0.412,Adaptive,Crowd flow unstable,0.2688558234992304,0.011111111111111113,0.456439393939394,0.24546877618324517,Optimal
Electrical Fire,Environmental Sensor,1994,0.93,4.4,10.33,394.0,94.62,Edge-Node-2,18,0.771,Leader-Based,High congestion observed,0.9974345818368394,0.9222222222222223,0.3260732323232323,0.7485766787940981,Dangerous
Platform Fire,WiFi Log,853,0.33,3.37,16.73,374.0,96.39,Edge-Node-3,18,0.345,Leader-Based,Evacuation improving,0.41200615700359156,0.2555555555555556,0.5280934343434344,0.39855171563419384,Optimal
Platform Fire,Smoke Sensor,1794,0.11,3.51,13.92,371.0,94.08,Edge-Node-2,5,0.784,Leader-Based,Normal conditions,0.8948178553104156,0.011111111111111113,0.4393939393939394,0.44844096860515537,Congested
Station Flooding,RFID Log,77,0.9,5.45,11.67,349.0,93.2,Edge-Node-3,10,0.561,Leader-Based,Evacuation improving,0.013853258081067212,0.8888888888888888,0.36837121212121215,0.42370445303038934,Congested
Panic Chain Reaction,CCTV,1322,0.63,4.92,14.61,380.0,96.05,Edge-Node-2,18,0.37,Priority-Based,High congestion observed,0.6526423807080554,0.5888888888888889,0.46117424242424243,0.5675685040070623,Dangerous
Station Flooding,CCTV,1627,0.16,5.99,14.21,422.0,95.35,Edge-Node-1,9,0.835,Adaptive,Evacuation improving,0.8091328886608516,0.06666666666666667,0.44854797979797983,0.441449178375166,Congested
Sudden Overcrowding,RFID Log,51,0.23,2.54,21.04,338.0,96.41,Edge-Node-2,9,0.674,Leader-Based,Sensor alert triggered,0.0005130836326321213,0.1444444444444445,0.6641414141414141,0.2696996474061636,Optimal
Panic Chain Reaction,WiFi Log,1811,0.34,1.48,13.72,391.0,94.54,Edge-Node-1,19,0.896,Priority-Based,Crowd flow unstable,0.9035402770651616,0.2666666666666667,0.4330808080808081,0.5344292506042122,Congested
Station Flooding,WiFi Log,606,0.85,6.05,10.68,402.0,97.17,Edge-Node-3,13,0.754,Leader-Based,Evacuation improving,0.2852744997434582,0.8333333333333333,0.33712121212121215,0.4852430150660012,Congested
Panic Chain Reaction,CCTV,1900,0.8,5.29,12.4,374.0,97.13,Edge-Node-1,6,0.696,Leader-Based,Sensor alert triggered,0.9492047203694202,0.7777777777777778,0.39141414141414144,0.7061322131871132,Dangerous
Sudden Overcrowding,CCTV,435,0.31,6.32,13.62,346.0,96.01,Edge-Node-2,5,0.844,Adaptive,Potential hazard identified,0.1975371985633658,0.23333333333333334,0.42992424242424243,0.2869315914403138,Optimal
Sudden Overcrowding,Environmental Sensor,1210,0.53,3.37,19.41,337.0,99.3,Edge-Node-1,4,0.929,Adaptive,Potential hazard identified,0.595177013853258,0.4777777777777778,0.612689393939394,0.5618813951901432,Dangerous
Tunnel Smoke,Smoke Sensor,995,0.32,4.16,12.69,417.0,97.02,Edge-Node-3,19,0.473,Adaptive,Crowd flow unstable,0.48486403283735247,0.24444444444444446,0.4005681818181818,0.37662555303332623,Optimal
Sudden Overcrowding,Smoke Sensor,976,0.58,3.32,15.92,354.0,98.5,Edge-Node-1,16,0.438,Adaptive,High congestion observed,0.47511544381734216,0.5333333333333332,0.5025252525252526,0.503658009891976,Congested
Station Flooding,Environmental Sensor,934,0.56,4.29,24.27,337.0,97.3,Edge-Node-1,7,0.827,Adaptive,Evacuation improving,0.45356593124679323,0.5111111111111112,0.7660984848484849,0.5769251757354631,Dangerous
Station Flooding,CCTV,1047,0.89,3.81,15.44,304.0,94.47,Edge-Node-2,15,0.362,Leader-Based,High congestion observed,0.5115443817342227,0.8777777777777778,0.4873737373737374,0.6255652989619126,Dangerous
Platform Fire,RFID Log,980,0.34,2.28,11.46,401.0,95.86,Edge-Node-3,8,0.889,Adaptive,Potential hazard identified,0.4771677783478707,0.2666666666666667,0.3617424242424243,0.3685256230856539,Optimal
Tunnel Smoke,Smoke Sensor,1197,0.39,3.47,12.34,362.0,95.25,Edge-Node-2,19,0.706,Adaptive,Potential hazard identified,0.5885069266290405,0.32222222222222224,0.38952020202020204,0.43341645029048825,Congested
Sudden Overcrowding,Heat Sensor,1531,0.62,1.34,19.87,369.0,95.62,Edge-Node-2,19,0.504,Priority-Based,Potential hazard identified,0.7598768599281682,0.5777777777777777,0.627209595959596,0.6549547445551807,Dangerous
Sudden Overcrowding,RFID Log,114,0.31,5.79,19.62,336.0,96.04,Edge-Node-1,13,0.663,Leader-Based,Normal conditions,0.03283735248845562,0.23333333333333334,0.6193181818181819,0.29516295587999025,Optimal
Station Flooding,Heat Sensor,1483,0.96,3.72,20.48,341.0,95.24,Edge-Node-3,16,0.654,Leader-Based,Crowd flow unstable,0.7352488455618266,0.9555555555555555,0.6464646464646465,0.7790896825273429,Dangerous
Panic Chain Reaction,RFID Log,853,0.42,2.32,11.16,452.0,96.33,Edge-Node-2,10,0.616,Leader-Based,Potential hazard identified,0.41200615700359156,0.35555555555555557,0.3522727272727273,0.3732781466106248,Optimal
Electrical Fire,CCTV,1384,0.77,4.02,11.37,317.0,96.97,Edge-Node-3,18,0.829,Leader-Based,High congestion observed,0.6844535659312467,0.7444444444444445,0.35890151515151514,0.5959331751757354,Dangerous
Platform Fire,Heat Sensor,1178,0.25,4.49,10.78,320.0,97.15,Edge-Node-3,1,0.307,Leader-Based,Potential hazard identified,0.5787583376090303,0.16666666666666669,0.3402777777777778,0.36190092735115825,Optimal
Panic Chain Reaction,Environmental Sensor,196,0.34,5.55,11.38,385.0,95.16,Edge-Node-2,5,0.493,Adaptive,Normal conditions,0.07491021036428938,0.2666666666666667,0.35921717171717177,0.23359801624937596,Optimal
Platform Fire,Environmental Sensor,1725,0.13,3.42,3.68,371.0,95.52,Edge-Node-1,2,0.792,Adaptive,Normal conditions,0.8594150846587993,0.03333333333333334,0.11616161616161617,0.3363033447179163,Optimal
Sudden Overcrowding,Smoke Sensor,141,0.86,3.7,8.39,348.0,96.09,Edge-Node-1,3,0.546,Leader-Based,High congestion observed,0.04669061056952284,0.8444444444444444,0.2648358585858586,0.38532363786660867,Optimal
Tunnel Smoke,CCTV,129,0.29,3.24,10.92,331.0,91.24,Edge-Node-2,10,0.608,Priority-Based,Potential hazard identified,0.04053360697793741,0.21111111111111108,0.3446969696969697,0.19878056259533938,Optimal
Station Flooding,Heat Sensor,389,0.82,5.22,8.06,310.0,99.08,Edge-Node-2,2,0.949,Leader-Based,High congestion observed,0.17393535146228833,0.7999999999999999,0.25441919191919193,0.4094515144604934,Optimal
Panic Chain Reaction,CCTV,1335,0.43,2.95,13.73,401.0,99.82,Edge-Node-2,12,0.872,Priority-Based,Potential hazard identified,0.6593124679322729,0.3666666666666667,0.4333964646464647,0.4864585330818014,Congested
Panic Chain Reaction,Heat Sensor,1849,0.12,3.59,14.32,326.0,98.26,Edge-Node-2,4,0.937,Priority-Based,High congestion observed,0.9230374551051821,0.022222222222222213,0.45202020202020204,0.4657599597825355,Congested
Sudden Overcrowding,RFID Log,1867,0.47,3.55,18.94,407.0,96.5,Edge-Node-1,6,0.625,Priority-Based,Potential hazard identified,0.9322729604925603,0.41111111111111115,0.5978535353535355,0.6470792023190689,Dangerous
Tunnel Smoke,Smoke Sensor,304,0.26,4.5,23.42,386.0,95.18,Edge-Node-2,12,0.728,Adaptive,High congestion observed,0.13032324268855822,0.1777777777777778,0.7392676767676769,0.34912289907800426,Optimal
Platform Fire,Heat Sensor,1448,0.96,3.85,10.64,428.0,97.0,Edge-Node-2,7,0.734,Leader-Based,Crowd flow unstable,0.7172909184197024,0.9555555555555555,0.3358585858585859,0.6695683532779481,Dangerous
Platform Fire,Environmental Sensor,1302,0.18,3.39,10.22,387.0,98.58,Edge-Node-1,1,0.437,Adaptive,Normal conditions,0.642380708055413,0.08888888888888889,0.32260101010101017,0.3512902023484374,Optimal
Sudden Overcrowding,Smoke Sensor,1875,0.64,3.21,17.49,297.0,98.75,Edge-Node-3,16,0.699,Leader-Based,Crowd flow unstable,0.9363776295536173,0.6,0.5520833333333334,0.6961536542956502,Dangerous
Station Flooding,Smoke Sensor,543,0.92,2.23,8.56,322.0,93.06,Edge-Node-3,5,0.616,Priority-Based,Potential hazard identified,0.2529502308876347,0.9111111111111112,0.2702020202020202,0.4780877874002554,Congested
Station Flooding,Heat Sensor,1874,0.33,4.31,12.28,408.0,98.08,Edge-Node-2,18,0.238,Adaptive,Potential hazard identified,0.9358645459209851,0.2555555555555556,0.38762626262626265,0.5263487880342678,Congested
Platform Fire,CCTV,191,0.7,3.87,18.07,423.0,97.03,Edge-Node-3,10,0.309,Priority-Based,Sensor alert triggered,0.07234479220112879,0.6666666666666666,0.5703914141414141,0.4364676243364032,Congested
Electrical Fire,Heat Sensor,749,0.15,6.45,16.88,294.0,92.53,Edge-Node-2,11,0.74,Priority-Based,Normal conditions,0.3586454592098512,0.05555555555555554,0.5328282828282829,0.31567643253122984,Optimal
Panic Chain Reaction,RFID Log,752,0.44,6.99,16.8,383.0,93.71,Edge-Node-3,3,0.652,Priority-Based,Sensor alert triggered,0.36018471010774755,0.3777777777777778,0.5303030303030304,0.4227551727295185,Congested
Panic Chain Reaction,Smoke Sensor,1731,0.32,2.94,13.06,321.0,96.91,Edge-Node-2,10,0.747,Adaptive,Evacuation improving,0.8624935864545921,0.24444444444444446,0.4122474747474748,0.5063951685488371,Congested
Panic Chain Reaction,RFID Log,826,0.18,3.49,19.7,387.0,98.11,Edge-Node-1,12,0.82,Leader-Based,Evacuation improving,0.39815289892252437,0.08888888888888889,0.6218434343434344,0.36962840738494923,Optimal
Platform Fire,Environmental Sensor,1222,0.65,4.9,13.44,373.0,97.74,Edge-Node-1,17,0.362,Leader-Based,Evacuation improving,0.6013340174448435,0.6111111111111112,0.42424242424242425,0.5455625175994596,Congested
Tunnel Smoke,RFID Log,1378,0.4,2.97,19.57,332.0,99.04,Edge-Node-2,13,0.589,Priority-Based,Normal conditions,0.681375064135454,0.33333333333333337,0.617739898989899,0.5441494321528955,Congested
Sudden Overcrowding,WiFi Log,160,0.98,4.32,6.36,356.0,95.76,Edge-Node-1,5,0.836,Priority-Based,Normal conditions,0.0564391995895331,0.9777777777777779,0.20075757575757577,0.4116581843749622,Optimal
Panic Chain Reaction,WiFi Log,614,0.41,4.25,19.27,432.0,100.13,Edge-Node-1,3,0.794,Adaptive,Sensor alert triggered,0.28937916880451514,0.34444444444444444,0.6082702020202021,0.4140312717563872,Optimal
Panic Chain Reaction,CCTV,222,0.62,4.53,16.8,348.0,96.82,Edge-Node-3,4,0.671,Adaptive,Sensor alert triggered,0.08825038481272447,0.5777777777777777,0.5303030303030304,0.39877706429784415,Optimal
Tunnel Smoke,WiFi Log,361,0.65,1.91,9.32,354.0,96.41,Edge-Node-1,10,0.907,Priority-Based,Evacuation improving,0.159569009748589,0.6111111111111112,0.2941919191919192,0.35495734668387313,Optimal
Electrical Fire,Heat Sensor,1027,0.95,4.27,11.77,327.0,94.73,Edge-Node-2,6,0.949,Leader-Based,Crowd flow unstable,0.5012827090815802,0.9444444444444444,0.3715277777777778,0.6057516437679341,Dangerous
Station Flooding,WiFi Log,970,0.23,4.59,13.07,362.0,93.47,Edge-Node-2,16,0.527,Priority-Based,Sensor alert triggered,0.4720369420215495,0.1444444444444445,0.4125631313131313,0.3430148392597084,Optimal
Tunnel Smoke,RFID Log,1546,0.42,6.49,18.19,328.0,97.15,Edge-Node-1,1,0.897,Adaptive,Evacuation improving,0.7675731144176501,0.35555555555555557,0.574179292929293,0.5657693209674995,Dangerous
Platform Fire,RFID Log,235,0.39,5.22,22.3,383.0,99.45,Edge-Node-3,17,0.797,Priority-Based,Evacuation improving,0.09492047203694202,0.32222222222222224,0.7039141414141414,0.3736856118911019,Optimal
Panic Chain Reaction,WiFi Log,534,0.4,4.59,10.2,265.0,97.5,Edge-Node-2,4,0.779,Leader-Based,Sensor alert triggered,0.24833247819394558,0.33333333333333337,0.32196969696969696,0.3012118361656586,Optimal
Platform Fire,CCTV,1056,0.73,3.56,15.05,373.0,95.74,Edge-Node-2,7,0.93,Leader-Based,Normal conditions,0.5161621344279117,0.7,0.4750631313131314,0.5637417552470144,Dangerous
Platform Fire,CCTV,585,0.19,3.32,20.52,388.0,99.03,Edge-Node-3,10,0.703,Adaptive,Evacuation improving,0.2744997434581837,0.09999999999999999,0.6477272727272727,0.3407423387284854,Optimal
Sudden Overcrowding,RFID Log,1037,0.64,4.67,14.41,433.0,95.33,Edge-Node-1,14,0.866,Priority-Based,Potential hazard identified,0.5064135454079015,0.6,0.45486111111111116,0.5204248855063375,Congested
Electrical Fire,Smoke Sensor,170,0.59,5.44,8.47,378.0,97.38,Edge-Node-1,16,0.596,Priority-Based,Normal conditions,0.06157003591585429,0.5444444444444444,0.26736111111111116,0.29112519715713664,Optimal
Platform Fire,Environmental Sensor,427,0.76,5.09,8.49,346.0,95.11,Edge-Node-1,17,0.38,Adaptive,Crowd flow unstable,0.19343252950230885,0.7333333333333333,0.26799242424242425,0.39825276235935547,Optimal
Tunnel Smoke,WiFi Log,204,0.45,4.44,15.69,421.0,94.58,Edge-Node-3,4,0.794,Adaptive,Evacuation improving,0.07901487942534634,0.3888888888888889,0.49526515151515155,0.3210563066097956,Optimal
Electrical Fire,Environmental Sensor,1013,0.77,4.41,25.22,362.0,98.37,Edge-Node-2,2,0.75,Priority-Based,Evacuation improving,0.49409953822473063,0.7444444444444445,0.7960858585858586,0.6782099470850111,Dangerous
Station Flooding,Heat Sensor,56,0.85,4.7,7.07,354.0,98.31,Edge-Node-1,8,0.94,Leader-Based,High congestion observed,0.003078501795792714,0.8333333333333333,0.22316919191919193,0.35319367568277266,Optimal
Platform Fire,Environmental Sensor,558,0.16,3.23,26.64,361.0,95.31,Edge-Node-2,5,0.606,Priority-Based,Sensor alert triggered,0.2606464853771165,0.06666666666666667,0.8409090909090909,0.3894074143176247,Optimal
Panic Chain Reaction,Heat Sensor,919,0.85,2.99,19.01,390.0,95.81,Edge-Node-3,3,0.464,Adaptive,Crowd flow unstable,0.44586967675731143,0.8333333333333333,0.6000631313131314,0.626422047134592,Dangerous
Platform Fire,Heat Sensor,1181,0.69,4.0,11.62,315.0,97.32,Edge-Node-2,11,0.689,Priority-Based,Sensor alert triggered,0.5802975885069266,0.6555555555555554,0.3667929292929293,0.5342153577851371,Congested
Tunnel Smoke,Environmental Sensor,788,0.39,2.9,10.93,288.0,96.53,Edge-Node-2,1,0.945,Priority-Based,Potential hazard identified,0.3786557208825038,0.32222222222222224,0.3450126262626263,0.3486301897891175,Optimal
Tunnel Smoke,CCTV,374,0.18,5.18,16.82,394.0,98.29,Edge-Node-3,11,0.49,Leader-Based,Potential hazard identified,0.16623909697280656,0.08888888888888889,0.5309343434343434,0.262020776432013,Optimal
Sudden Overcrowding,Heat Sensor,812,0.11,4.96,24.73,358.0,99.88,Edge-Node-1,16,0.443,Leader-Based,Normal conditions,0.3909697280656747,0.011111111111111113,0.780618686868687,0.39423317534849095,Optimal
Electrical Fire,WiFi Log,218,0.23,4.25,12.28,348.0,97.3,Edge-Node-2,5,0.421,Adaptive,Evacuation improving,0.086198050282196,0.1444444444444445,0.38762626262626265,0.20608958578430103,Optimal
Platform Fire,WiFi Log,966,0.98,4.85,7.89,342.0,93.77,Edge-Node-2,4,0.254,Priority-Based,Normal conditions,0.46998460749102106,0.9777777777777779,0.2490530303030303,0.565605138523943,Dangerous
Electrical Fire,RFID Log,1149,0.98,3.78,11.31,395.0,98.94,Edge-Node-3,18,0.684,Priority-Based,Potential hazard identified,0.5638789122626988,0.9777777777777779,0.3570075757575758,0.6328880885993509,Dangerous
Electrical Fire,Smoke Sensor,1779,0.55,3.12,12.19,384.0,96.14,Edge-Node-1,13,0.858,Leader-Based,Sensor alert triggered,0.8871216008209338,0.5,0.38478535353535354,0.5906356514520958,Dangerous
Platform Fire,WiFi Log,447,0.36,5.06,21.19,383.0,99.36,Edge-Node-1,7,0.62,Leader-Based,High congestion observed,0.20369420215495124,0.2888888888888889,0.6688762626262628,0.38715311789003426,Optimal
Electrical Fire,Heat Sensor,1273,0.35,4.58,17.27,352.0,98.19,Edge-Node-3,5,0.531,Leader-Based,Evacuation improving,0.6275012827090816,0.2777777777777778,0.545138888888889,0.4834726497919161,Congested
Tunnel Smoke,WiFi Log,1730,0.69,2.72,18.77,383.0,99.23,Edge-Node-3,5,0.643,Adaptive,Potential hazard identified,0.8619805028219599,0.6555555555555554,0.5924873737373738,0.7033411440382964,Dangerous
Electrical Fire,CCTV,840,0.32,5.78,20.78,404.0,97.1,Edge-Node-1,19,0.371,Leader-Based,Evacuation improving,0.40533606977937403,0.24444444444444446,0.6559343434343435,0.43523828588605395,Congested
Station Flooding,CCTV,547,0.62,5.44,7.53,345.0,99.01,Edge-Node-3,11,0.412,Priority-Based,Crowd flow unstable,0.2550025654181632,0.5777777777777777,0.23768939393939395,0.3568232457117783,Optimal
Tunnel Smoke,Heat Sensor,866,0.6,4.17,7.45,348.0,93.19,Edge-Node-3,2,0.221,Priority-Based,Normal conditions,0.41867624422780914,0.5555555555555555,0.23516414141414144,0.40313198039916864,Optimal
Sudden Overcrowding,Heat Sensor,613,0.68,3.23,20.34,359.0,95.84,Edge-Node-1,15,0.429,Leader-Based,High congestion observed,0.288866085171883,0.6444444444444445,0.6420454545454546,0.5251186613872607,Congested
Station Flooding,Smoke Sensor,988,0.26,4.17,15.19,340.0,95.95,Edge-Node-3,12,0.821,Adaptive,Evacuation improving,0.4812724474089276,0.1777777777777778,0.47948232323232326,0.37951084947300956,Optimal
Platform Fire,Environmental Sensor,1233,0.67,4.27,15.78,379.0,95.66,Edge-Node-1,18,0.768,Adaptive,Potential hazard identified,0.6069779374037968,0.6333333333333334,0.4981060606060606,0.5794724437810636,Dangerous
Platform Fire,Heat Sensor,1398,0.13,3.92,24.09,378.0,96.27,Edge-Node-1,15,0.38,Priority-Based,Normal conditions,0.6916367367880965,0.03333333333333334,0.7604166666666667,0.4951289122626988,Congested
